UF,População,Média geométrica do pico de infecção das temporadas regulares,região de baixa atividade típica,limiar pré-epidêmico,intensidade alta,intensidade muito alta,SE típica do início do surto,"SE típica do início do surto - IC inferior (2,5%)","SE típica do início do surto - IC superior (97,5%)",duração típica do surto,"duração típica do surto - IC inferior (2,5%)","duração típica do surto - IC superior (97,5%)",temporadas utilizadas para os corredores endêmicos,ano,Unidade da Federação,Tipo,dado,escala
41,11320892,28.099665322217813,0,9.091583291784243,37.576265274149364,60.335403084678326,20.0,6.0,22.0,14.0,13.0,15.0,"2010, 2013, 2014, 2015",2017,Paraná,Estado,sragflu,casos
42,7001161,6.410307085339874,0,1.6900425485442916,8.90313615608712,11.049431563711579,24.0,18.0,26.0,10.0,6.0,16.0,"2010, 2011, 2014, 2015",2017,Santa Catarina,Estado,sragflu,casos
43,11322895,53.53301348673332,0,5.20195395225427,82.35211245119777,152.22359242646468,22.0,13.0,27.0,10.0,9.0,12.0,"2011, 2012, 2013, 2014, 2016",2017,Rio Grande do Sul,Estado,sragflu,casos
50,2713147,7.27764092752998,0,1.1804072051056238,8.02198682367027,10.208150765055063,20.0,19.0,21.0,12.0,6.0,14.0,"2012, 2013, 2014, 2015",2017,Mato Grosso do Sul,Estado,sragflu,casos
51,3344544,1.188672901510491,1,0.5,1.9999999999999996,2.9999999999999996,,,,,,,"2010, 2011, 2012, 2013, 2014, 2015",2017,Mato Grosso,Estado,sragflu,casos
52,6778772,5.0224014842794755,0,1.8520608096250852,5.838765539837991,8.573926333967208,17.0,13.0,35.0,7.0,1.0,11.0,"2010, 2011, 2012, 2013, 2014, 2015",2017,Goiás,Estado,sragflu,casos
53,3039444,2.8666050958098834,1,0.5000000000000001,3.944187881293488,5.00152266545936,,,,,,,"2010, 2011, 2013, 2014, 2015",2017,Distrito Federal,Estado,sragflu,casos
BR,207660929,69.2207086763385,0,26.381457838424662,77.41462577391269,103.14355889109595,18.0,7.0,23.0,11.0,8.0,17.0,"2010, 2011, 2014, 2015",2017,Brasil,País,sragflu,casos
RegC,27644815,16.54757276778061,0,5.386786700311461,17.323827390306214,24.863178323390656,15.0,9.0,33.0,9.0,7.0,18.0,"2010, 2012, 2013, 2014, 2015",2017,Regional Centro,Regional,sragflu,casos
RegL,67770757,8.257869716322336,0,3.956257806991248,12.757347202065562,18.56157455179012,15.0,8.0,33.0,8.0,5.0,18.0,"2010, 2011, 2012, 2013, 2014, 2015",2017,Regional Leste,Regional,sragflu,casos
